video_id,view_count,like_count,comment_count,captured_at
kVNP35F_xmw,0,0,0,2026-01-19T21:16:38.110002
LJpDidHmgao,0,0,0,2026-01-19T21:16:38.110013
J-TmK5xyypk,6,2,2,2026-01-19T21:16:38.110025
cDXfHyThvbA,5,4,0,2026-01-19T21:16:38.110037
FirQc5nbEzY,1,0,0,2026-01-19T21:16:38.110055
D03hR3FE-hY,3,0,0,2026-01-19T21:16:38.110078
2NJaEvJ5SDU,1,0,0,2026-01-19T21:16:38.110192
kO00kET7Yqg,23,2,1,2026-01-19T21:16:38.110209
96zoXIdBM7E,1,1,1,2026-01-19T21:16:38.110225
tDrcEBrtUo0,24,2,1,2026-01-19T21:16:38.110240
nhY-bHldwTs,4,2,0,2026-01-19T21:16:38.110252
3QjajyGFIKM,11682,127,11,2026-01-19T21:16:38.110267
TWkpuKl3Y5Y,38,2,0,2026-01-19T21:16:41.154508
XDZGwFZfvmg,86,1,0,2026-01-19T21:16:41.154534
9B3A6cwCMGs,6404,353,21,2026-01-19T21:16:41.154543
BJJkqDAIrDQ,30,3,1,2026-01-19T21:16:41.154550
FbrU2xd1o2c,6,3,1,2026-01-19T21:16:41.154557
oxC_2cLnV9w,43,3,0,2026-01-19T21:16:41.154564
kJOaxggIyOg,52,2,1,2026-01-19T21:16:41.154570
RfEQ-xLrgV4,9,0,0,2026-01-19T21:16:41.154576
n0UA1UiwH4k,10,2,0,2026-01-19T21:16:41.154582
g-mogsevpho,7,1,0,2026-01-19T21:16:41.154590
Yk0_HU7x6EE,2,0,0,2026-01-19T21:16:41.154596
h7r_3nLpnH0,6,0,0,2026-01-19T21:16:41.154602
qNxrPri1V0I,1140508,70076,750,2026-01-19T21:16:41.154609
dJA7k58zlA8,1030371,48665,1247,2026-01-19T21:16:41.154616
_xIwjmCH6D4,819152,37463,417,2026-01-19T21:16:41.154621
yBcfzZJ-gS8,820187,29101,1638,2026-01-19T21:16:41.154628
J11Qme3vAio,716372,22694,591,2026-01-19T21:16:41.154633
k7Zc1JwvIK4,661174,19579,565,2026-01-19T21:16:41.154640
9R3X0JoCLyU,661403,19357,444,2026-01-19T21:16:41.154646
S_F_c9e2bz4,632993,5422,141,2026-01-19T21:16:41.154652
YRJbhFLLPyE,616563,16512,344,2026-01-19T21:16:41.154661
v_uodKAywXA,553433,11835,356,2026-01-19T21:16:41.154669
15_pppse4fY,512367,7076,286,2026-01-19T21:16:41.154675
pMQSgriJqR8,386707,18814,416,2026-01-19T21:16:41.154682
QlbyGPVaRSE,372575,21942,283,2026-01-19T21:16:41.154689
M7n551ot8oQ,352122,12207,2078,2026-01-19T21:16:41.154695
Bx4BYXOE9SQ,321325,15280,591,2026-01-19T21:16:41.154701
QJtCKMyF68A,316341,11051,284,2026-01-19T21:16:41.154707
GhFgnkLPZj4,315205,7622,546,2026-01-19T21:16:41.154714
8SPjD_UARno,304251,25120,480,2026-01-19T21:16:41.154721
4KqKUKDrXzU,296947,10175,309,2026-01-19T21:16:41.154728
uYSw0hM1AKw,263158,3588,277,2026-01-19T21:16:41.154735
8411fEhNKNc,260975,8574,724,2026-01-19T21:16:41.154742
_cFbg6YxcK4,234756,11444,318,2026-01-19T21:16:41.154747
9OA757v4FAM,231294,9141,250,2026-01-19T21:16:41.154754
aUMEx4in2iU,201152,5189,126,2026-01-19T21:16:41.154762
D9CLhQdLp8w,197088,5644,277,2026-01-19T21:16:41.154768
Yy7c4Up9ZnM,193583,8885,133,2026-01-19T21:16:41.154774
N3vHJcHBS-w,181383,3306,106,2026-01-19T21:16:41.154781
2N_Qu58km0o,161104,7849,189,2026-01-19T21:16:41.154788
738p3zr_ob4,3,0,0,2026-01-19T21:16:41.154793
_syxNQZVJFc,5,2,0,2026-01-19T21:16:41.154801
D_yB_vXGuSE,271,13,2,2026-01-19T21:16:41.154808
bqq4IJYKYpY,1,0,0,2026-01-19T21:16:41.154814
_Tlr4TJ9x8w,1,0,0,2026-01-19T21:16:41.154821
hx33Re3OjyY,0,0,0,2026-01-19T21:16:41.154828
sfmxocQrh4M,0,0,0,2026-01-19T21:16:41.154838
pgZD8PVVq2o,2,0,0,2026-01-19T21:16:41.154845
6fTSwHkAies,0,0,0,2026-01-19T21:16:41.154852
